Time,Open,High,Low,Close,Volume,EMA5,EMA20,EMA50,MACD,macdsignal,macdhist,slowk,slowd,CCI,VOLEMA10,rsi,tenkan_sen,kijun_sen,senkou_A,senkou_B,chikou,rsi_overbought,rsi_oversold
2022-06-04 12:00:00,29681.68,29703.64,29516.01,29538.0,1134.57345,,,,,,,,,,,,,,,,29791.71,70.0,30.0
2022-06-04 13:00:00,29538.0,29654.52,29522.99,29596.11,960.73462,,,,,,,,,,,,,,,,29972.22,70.0,30.0
2022-06-04 14:00:00,29596.11,29988.88,29485.0,29777.32,2794.76263,,,,,,,,,,,,,,,,29866.94,70.0,30.0
2022-06-04 15:00:00,29777.31,29888.01,29750.29,29858.8,1492.70826,,,,,,,,,,,,,,,,30021.99,70.0,30.0
2022-06-04 16:00:00,29858.79,29858.8,29747.63,29751.41,1138.48775,29704.327999999998,,,,,,,,,,,,,,,29996.31,70.0,30.0
2022-06-04 17:00:00,29751.41,29755.24,29613.26,29712.52,1017.79595,29707.058666666664,,,,,,,,,,,,,,,30049.86,70.0,30.0
2022-06-04 18:00:00,29712.52,29799.82,29712.51,29768.67,762.28045,29727.595777777777,,,,,,,,,,,,,,,29945.84,70.0,30.0
2022-06-04 19:00:00,29768.68,29775.37,29634.05,29655.41,741.55965,29703.53385185185,,,,,,,,,,,,,,,29965.23,70.0,30.0
2022-06-04 20:00:00,29655.41,29750.0,29632.05,29749.77,620.23887,29718.94590123457,,,,,,42.41139437621348,44.260955820794464,,,,29821.7,,,,30022.67,70.0,30.0
2022-06-04 21:00:00,29749.77,29862.57,29745.51,29846.33,612.7848,29761.407267489714,,,,,,54.80769010314927,45.383246107618675,,1127.592643,,29821.7,,,,29919.21,70.0,30.0
2022-06-04 22:00:00,29846.33,29977.99,29791.65,29808.01,1658.35818,29776.94151165981,,,,,,66.64872091651357,54.62260179862543,,1224.0954679090908,,29869.440000000002,,,,30301.7,70.0,30.0
2022-06-04 23:00:00,29808.02,29869.4,29771.22,29864.04,748.91257,29805.97434110654,,,,,,70.47036504377382,63.97559202114555,,1137.6985773801653,,29863.995000000003,,,,30844.07,70.0,30.0
2022-06-05 00:00:00,29864.03,29897.18,29729.37,29740.64,782.85069,29784.196227404358,,,,,,49.77163670000553,62.29690755343097,,1073.1807796746807,,29863.995000000003,,,,30926.11,70.0,30.0
2022-06-05 01:00:00,29740.64,29755.23,29681.85,29691.74,862.23099,29753.377484936238,,,,,,33.93007834266586,51.3906933621484,-32.85648940784163,1034.8262724611025,,29863.995000000003,,,,31251.0,70.0,30.0
2022-06-05 02:00:00,29691.73,29799.99,29678.5,29793.99,592.84149,29766.91498995749,,,,,,24.43056516365807,36.044093402109816,2.0197075329035212,954.4654029227202,60.699149885899196,29863.995000000003,,,,31222.91,70.0,30.0
2022-06-05 03:00:00,29793.99,29819.95,29748.88,29766.95,474.10191,29766.92665997166,,,,,,27.44969597689075,28.60344649440489,13.985608047589606,867.1265860276801,59.256750691593986,29863.995000000003,,,,31169.05,70.0,30.0
2022-06-05 04:00:00,29766.95,29782.19,29686.0,29722.9,646.57341,29752.251106647775,,,,,,33.1043637647615,28.328208301770104,-53.867539287680785,827.0260085681019,56.88523329489207,29863.995000000003,,,,31274.23,70.0,30.0
2022-06-05 05:00:00,29722.9,29819.85,29722.89,29793.95,439.88382,29766.150737765183,,,,,,47.45660515790342,36.00355496651855,23.493124565375968,756.6365197375379,59.68763031363363,29866.61,,,,31292.77,70.0,30.0
2022-06-05 06:00:00,29793.94,29796.83,29729.7,29729.71,376.08204,29754.003825176787,,,,,,46.042064053504895,42.2010109920566,-15.20059876631541,687.4447961488946,56.13489640778522,29866.61,,,,31469.28,70.0,30.0
2022-06-05 07:00:00,29729.71,29810.2,29645.67,29645.67,666.95377,29717.892550117856,29740.596999999998,,,,,39.274184046188054,44.25761775253212,-100.0680830147883,683.7191550309137,51.79175318809918,29826.205,,,,31475.14,70.0,30.0
2022-06-05 08:00:00,29645.68,29738.73,29643.93,29691.81,615.97894,29709.198366745237,29735.950619047617,,,,,21.14017409822359,35.48547406597217,-96.66728068559733,671.4027522980203,53.900589295653056,29817.955,,,,31483.19,70.0,30.0
2022-06-05 09:00:00,29691.82,29691.82,29531.42,29639.46,1159.92989,29685.952244496824,29726.761036281176,,,,,21.558292950291843,27.324217031567816,-174.98469842417742,760.2258682438348,51.16579301847596,29755.885000000002,,,,31396.71,70.0,30.0
2022-06-05 10:00:00,29639.46,29710.0,29600.0,29641.65,493.53234,29671.18482966455,29718.655223302016,,,,,34.73833934290755,25.812268797140984,-118.26071125137173,711.7361358358648,51.27716504670289,29755.885000000002,,,,31408.96,70.0,30.0
2022-06-05 11:00:00,29641.65,29742.13,29588.95,29718.69,718.61891,29687.019886443035,29718.65853536849,,,,,48.05764481672485,34.784759036641404,-67.34478568674132,712.987549320253,55.1519893530077,29755.885000000002,,,,31442.96,70.0,30.0
